Deal_id,Deal_created_at,Deal_Value,Deal_Stage,Deal _Status,Deal_Email_messages_count,Deal_Total_activities,Deal_Currency,Deal_Region
Adlud_deal_d066,10/11/2020 21:18,200000,Contacted,Lost,0,0,USD,UK & EUROPE
Adlud_deal_d067,29/03/2019 16:40,200000,IO Sent,Deleted,4,3,USD,UK & EUROPE
Adlud_deal_d068,11/02/2019 06:06,200000,Contacted,Lost,0,13,HKD,APAC & RESELLERS
Adlud_deal_d069,07/04/2020 21:14,200000,RFP,Won,0,0,USD,US
Adlud_deal_d070,18/11/2020 18:32,200000,RFP,Won,0,0,USD,US
Adlud_deal_d071,21/11/2019 21:15,200000,RFP,Won,0,0,USD,US
Adlud_deal_d072,25/07/2020 01:17,200000,RFP,Won,0,0,USD,US
Adlud_deal_d073,01/03/2019 21:14,200000,RFP,Lost,0,0,USD,US
Adlud_deal_d074,22/09/2020 19:08,200000,Contacted,Lost,0,0,GBP,UK & EUROPE
Adlud_deal_d075,10/01/2019 20:11,200000,RFP,Lost,16,0,USD,US
Adlud_deal_d076,25/02/2019 18:19,200000,RFP,Lost,13,0,USD,US
Adlud_deal_d077,08/03/2019 23:32,200000,RFP,Lost,11,0,USD,US
Adlud_deal_d078,09/01/2019 05:35,188235.29,Contacted,Won,0,2,HKD,APAC & RESELLERS
Adlud_deal_d079,28/01/2019 08:00,188235.29,Contacted,Won,0,1,HKD,APAC & RESELLERS
Adlud_deal_d080,16/07/2020 10:58,180000,Contacted,Lost,0,0,HKD,APAC & RESELLERS
Adlud_deal_d081,21/02/2020 06:41,180000,Contacted,Won,0,0,HKD,APAC & RESELLERS
Adlud_deal_d082,30/01/2019 05:36,176470.59,Contacted,Won,0,0,HKD,APAC & RESELLERS
Adlud_deal_d083,28/06/2019 12:37,176470,Contacted,Lost,0,8,HKD,APAC & RESELLERS
Adlud_deal_d084,05/04/2019 05:07,176470,Contacted,Won,0,11,HKD,APAC & RESELLERS
Adlud_deal_d085,18/11/2020 18:31,175000,RFP,Lost,0,0,USD,US
Adlud_deal_d086,02/10/2020 11:05,173753.88,Contacted,Lost,0,0,GBP,UK & EUROPE
Adlud_deal_d087,08/04/2020 10:27,170000,Contacted,Lost,0,1,HKD,APAC & RESELLERS
Adlud_deal_d088,10/11/2020 06:32,170000,Contacted,Lost,0,1,HKD,APAC & RESELLERS
Adlud_deal_d089,23/07/2019 12:18,170000,Contacted,Lost,0,0,HKD,APAC & RESELLERS
Adlud_deal_d090,22/05/2020 14:11,170000,Contacted,Won,0,1,HKD,APAC & RESELLERS
Adlud_deal_d091,01/04/2019 08:27,164705.88,Contacted,Won,0,5,HKD,APAC & RESELLERS
Adlud_deal_d092,18/11/2020 10:33,164705.88,IO Sent,Won,4,3,HKD,APAC & RESELLERS
Adlud_deal_d093,13/08/2019 07:50,164705,Contacted,Won,0,7,HKD,APAC & RESELLERS
